"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2017",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2018",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"FRA","HOSPITALSTAY","ACUTE","DAY","A","2020",5.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2010",8.1,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2011",7.9,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2012",7.8,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2013",7.7,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2014",7.6,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2015",7.6,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2016",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2017",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2019",7.4,
"DEU","HOSPITALSTAY","ACUTE","DAY","A","2020",7.4,
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2010",5.3,"D"
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2011",5.4,"D"
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2012",5.2,"D"
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2013",5.6,"B"
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2014",5.6,
"GRC","HOSPITALSTAY","ACUTE","DAY","A","2015",5.3,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2010",5.8,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2011",5.8,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2012",5.8,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2013",5.7,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2014",5.6,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2015",5.5,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2016",5.5,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2017",5.5,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2018",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"HUN","HOSPITALSTAY","ACUTE","DAY","A","2020",5.3,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2010",6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2011",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2012",5.9,"B"
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2013",5.7,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2014",5.6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2015",5.8,"B"
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2016",5.8,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2017",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2018",5.9,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"IRL","HOSPITALSTAY","ACUTE","DAY","A","2020",5.7,"B"
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2010",6.7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2011",6.8,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2012",6.8,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2013",6.8,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2014",6.8,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2015",6.9,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2016",6.9,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2017",6.9,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2018",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2019",7,
"ITA","HOSPITALSTAY","ACUTE","DAY","A","2020",7.5,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2010",18.2,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2011",17.9,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2012",17.5,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2013",17.2,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2014",16.9,"B"
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2015",16.5,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2016",16.3,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2017",16.2,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2018",16.1,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2019",16,
"JPN","HOSPITALSTAY","ACUTE","DAY","A","2020",16.4,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2010",10,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2011",10.1,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2012",9.2,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2013",8.9,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2014",8,"B"
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2015",7.9,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2016",7.6,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2017",7.6,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2019",7.3,
"KOR","HOSPITALSTAY","ACUTE","DAY","A","2020",7.8,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2010",7.6,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2011",7.3,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2012",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2013",7.3,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2014",7.3,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2015",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2016",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2017",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2018",7.6,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2019",7.4,
"LUX","HOSPITALSTAY","ACUTE","DAY","A","2020",7.5,"P"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2010",5.6,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2015",5.1,
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2016",5.1,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2017",5.1,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2018",5.1,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2019",5.1,"D"
"NLD","HOSPITALSTAY","ACUTE","DAY","A","2020",5.2,"D"
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2010",6.1,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2011",6.2,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2012",6,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2013",5.6,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2014",5.1,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2015",5.5,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2016",5.3,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2017",5.2,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2018",4.8,
"NZL","HOSPITALSTAY","ACUTE","DAY","A","2019",4.7,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2010",6.3,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2011",6.1,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2012",5.8,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2013",5.5,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2014",5.5,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2015",6.2,"B"
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2016",6.1,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2017",6,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2018",6,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2019",5.9,
"NOR","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2010",7.3,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2011",7.1,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2012",6.8,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2013",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2014",6.6,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2015",6.9,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2016",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2017",6.6,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2019",6.7,
"POL","HOSPITALSTAY","ACUTE","DAY","A","2020",6.8,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2010",8.6,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2011",8.8,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2012",8.9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2013",8.8,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2014",8.8,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2015",8.8,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2016",8.9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2017",8.9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2018",9,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2019",9.2,
"PRT","HOSPITALSTAY","ACUTE","DAY","A","2020",9.8,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2010",6.6,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2011",6.3,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2012",6.2,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2013",6.2,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2014",7,"B"
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2015",6.9,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2016",6.8,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2017",6.8,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2019",6.6,
"SVK","HOSPITALSTAY","ACUTE","DAY","A","2020",6.8,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2010",6.4,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2011",6.2,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2012",6.1,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2013",6.1,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2014",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2015",6.1,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2016",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2017",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2018",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2019",6,
"ESP","HOSPITALSTAY","ACUTE","DAY","A","2020",6.4,"P"
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2010",5.8,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2011",5.7,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2012",5.6,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2013",5.6,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2014",5.6,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2015",5.7,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2016",5.6,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2017",5.6,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2018",5.5,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"SWE","HOSPITALSTAY","ACUTE","DAY","A","2020",5.3,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2010",7.8,"B"
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2011",7.7,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2012",7.5,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2013",7.4,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2014",7.3,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2015",7.2,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2016",7.1,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2017",7,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2018",6.9,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2019",6.9,
"CHE","HOSPITALSTAY","ACUTE","DAY","A","2020",6.9,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2010",4,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2011",3.9,"B"
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2012",3.9,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2013",3.9,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2014",4,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2015",3.9,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2016",4,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2017",4.1,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2018",4.1,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2019",4.1,
"TUR","HOSPITALSTAY","ACUTE","DAY","A","2020",4.5,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2010",6.1,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2011",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2012",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2013",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2014",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2015",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2016",6,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2017",5.9,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2018",6.1,
"GBR","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2010",5.4,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2011",5.4,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2012",5.4,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2013",5.4,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2014",5.5,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2015",5.5,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2016",5.5,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2017",5.5,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2018",5.5,
"USA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.4,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2010",5.5,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2011",5.5,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2012",5.6,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2013",6,"B"
"EST","HOSPITALSTAY","ACUTE","DAY","A","2014",5.9,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2015",6,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2016",6.1,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2017",6.1,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2018",6.1,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2019",6.2,
"EST","HOSPITALSTAY","ACUTE","DAY","A","2020",6.1,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2010",4.8,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2011",4.8,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2012",4.8,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2013",4.8,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2014",4.7,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2015",4.7,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2016",4.7,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2017",4.7,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2018",4.7,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2019",4.6,
"ISR","HOSPITALSTAY","ACUTE","DAY","A","2020",4.6,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2010",10.8,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2011",11.3,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2012",10.8,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2013",10.3,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2014",9.9,"B"
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2015",9.7,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2016",9.4,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2017",9.3,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2018",9.1,
"RUS","HOSPITALSTAY","ACUTE","DAY","A","2019",9.1,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2010",5.5,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2011",6.8,"B"
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2012",6.9,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2013",6.6,"B"
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2014",6.6,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2015",6.5,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2016",6.5,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2017",6.6,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2018",6.7,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2019",6.6,
"SVN","HOSPITALSTAY","ACUTE","DAY","A","2020",6.6,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2010",5.4,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2011",5.3,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2012",5.5,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2013",5.6,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2014",5.8,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2015",5.9,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2016",5.9,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2017",5.7,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2018",5.6,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2019",5.5,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2020",5.6,
"ISL","HOSPITALSTAY","ACUTE","DAY","A","2021",5.4,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2010",6.2,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2011",6,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2012",5.8,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2013",5.8,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2014",5.9,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2015",6,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2016",5.9,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2017",6,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2018",6,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2019",5.9,
"LVA","HOSPITALSTAY","ACUTE","DAY","A","2020",5.9,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2010",7.1,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2011",7,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2012",6.9,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2013",6.9,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2014",6.8,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2015",6.6,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2016",6.6,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2017",6.5,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2018",6.5,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2019",6.4,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2020",6.7,
"LTU","HOSPITALSTAY","ACUTE","DAY","A","2021",6.5,"P"
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2010",6.4,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2011",6.2,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2012",6.3,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2013",6.1,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2014",6.3,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2015",7.1,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2016",7.1,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2017",6.5,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2018",7.5,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2019",6.6,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2020",7.1,
"CRI","HOSPITALSTAY","ACUTE","DAY","A","2021",6.8,
