"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","LIFEEXP","TOT","YR","A","2016",80.9,
"DNK","LIFEEXP","TOT","YR","A","2017",81.1,
"DNK","LIFEEXP","TOT","YR","A","2018",81,
"DNK","LIFEEXP","TOT","YR","A","2019",81.5,
"DNK","LIFEEXP","TOT","YR","A","2020",81.6,
"DNK","LIFEEXP","TOT","YR","A","2021",81.4,
"FIN","LIFEEXP","TOT","YR","A","2010",80.2,
"FIN","LIFEEXP","TOT","YR","A","2011",80.6,
"FIN","LIFEEXP","TOT","YR","A","2012",80.7,
"FIN","LIFEEXP","TOT","YR","A","2013",81.1,
"FIN","LIFEEXP","TOT","YR","A","2014",81.3,
"FIN","LIFEEXP","TOT","YR","A","2015",81.6,
"FIN","LIFEEXP","TOT","YR","A","2016",81.5,
"FIN","LIFEEXP","TOT","YR","A","2017",81.7,
"FIN","LIFEEXP","TOT","YR","A","2018",81.8,
"FIN","LIFEEXP","TOT","YR","A","2019",82.1,
"FIN","LIFEEXP","TOT","YR","A","2020",82,
"FIN","LIFEEXP","TOT","YR","A","2021",82,
"FRA","LIFEEXP","TOT","YR","A","2010",81.9,
"FRA","LIFEEXP","TOT","YR","A","2011",82.3,
"FRA","LIFEEXP","TOT","YR","A","2012",82.1,
"FRA","LIFEEXP","TOT","YR","A","2013",82.4,"B"
"FRA","LIFEEXP","TOT","YR","A","2014",82.9,
"FRA","LIFEEXP","TOT","YR","A","2015",82.4,
"FRA","LIFEEXP","TOT","YR","A","2016",82.7,
"FRA","LIFEEXP","TOT","YR","A","2017",82.7,
"FRA","LIFEEXP","TOT","YR","A","2018",82.8,
"FRA","LIFEEXP","TOT","YR","A","2019",83,
"FRA","LIFEEXP","TOT","YR","A","2020",82.3,
"FRA","LIFEEXP","TOT","YR","A","2021",82.5,
"DEU","LIFEEXP","TOT","YR","A","2010",80.5,
"DEU","LIFEEXP","TOT","YR","A","2011",80.6,
"DEU","LIFEEXP","TOT","YR","A","2012",80.7,
"DEU","LIFEEXP","TOT","YR","A","2013",80.6,
"DEU","LIFEEXP","TOT","YR","A","2014",81.2,
"DEU","LIFEEXP","TOT","YR","A","2015",80.7,
"DEU","LIFEEXP","TOT","YR","A","2016",81,
"DEU","LIFEEXP","TOT","YR","A","2017",81.1,
"DEU","LIFEEXP","TOT","YR","A","2018",81,
"DEU","LIFEEXP","TOT","YR","A","2019",81.3,
"DEU","LIFEEXP","TOT","YR","A","2020",81.1,
"DEU","LIFEEXP","TOT","YR","A","2021",80.9,
"GRC","LIFEEXP","TOT","YR","A","2010",80.6,
"GRC","LIFEEXP","TOT","YR","A","2011",80.8,
"GRC","LIFEEXP","TOT","YR","A","2012",80.7,
"GRC","LIFEEXP","TOT","YR","A","2013",81.4,
"GRC","LIFEEXP","TOT","YR","A","2014",81.5,
"GRC","LIFEEXP","TOT","YR","A","2015",81.1,
"GRC","LIFEEXP","TOT","YR","A","2016",81.5,
"GRC","LIFEEXP","TOT","YR","A","2017",81.4,
"GRC","LIFEEXP","TOT","YR","A","2018",81.9,
"GRC","LIFEEXP","TOT","YR","A","2019",81.7,
"GRC","LIFEEXP","TOT","YR","A","2020",81.4,
"GRC","LIFEEXP","TOT","YR","A","2021",80.3,
"IRL","LIFEEXP","TOT","YR","A","2010",80.8,
"IRL","LIFEEXP","TOT","YR","A","2011",80.9,
"IRL","LIFEEXP","TOT","YR","A","2012",80.9,
"IRL","LIFEEXP","TOT","YR","A","2013",81,
"IRL","LIFEEXP","TOT","YR","A","2014",81.4,
"IRL","LIFEEXP","TOT","YR","A","2015",81.5,
"IRL","LIFEEXP","TOT","YR","A","2016",81.7,
"IRL","LIFEEXP","TOT","YR","A","2017",82.2,
"IRL","LIFEEXP","TOT","YR","A","2018",82.2,
"IRL","LIFEEXP","TOT","YR","A","2019",82.8,
"IRL","LIFEEXP","TOT","YR","A","2020",82.6,
"ITA","LIFEEXP","TOT","YR","A","2010",82.2,
"ITA","LIFEEXP","TOT","YR","A","2011",82.4,
"ITA","LIFEEXP","TOT","YR","A","2012",82.4,
"ITA","LIFEEXP","TOT","YR","A","2013",82.9,
"ITA","LIFEEXP","TOT","YR","A","2014",83.2,
"ITA","LIFEEXP","TOT","YR","A","2015",82.7,
"ITA","LIFEEXP","TOT","YR","A","2016",83.4,
"ITA","LIFEEXP","TOT","YR","A","2017",83.1,
"ITA","LIFEEXP","TOT","YR","A","2018",83.4,
"ITA","LIFEEXP","TOT","YR","A","2019",83.6,
"ITA","LIFEEXP","TOT","YR","A","2020",82.3,
"ITA","LIFEEXP","TOT","YR","A","2021",82.9,
"LUX","LIFEEXP","TOT","YR","A","2010",80.8,
"LUX","LIFEEXP","TOT","YR","A","2011",81.1,
"LUX","LIFEEXP","TOT","YR","A","2012",81.5,"B"
"LUX","LIFEEXP","TOT","YR","A","2013",81.9,
"LUX","LIFEEXP","TOT","YR","A","2014",82.3,
"LUX","LIFEEXP","TOT","YR","A","2015",82.4,
"LUX","LIFEEXP","TOT","YR","A","2016",82.7,
"LUX","LIFEEXP","TOT","YR","A","2017",82.1,
"LUX","LIFEEXP","TOT","YR","A","2018",82.3,
"LUX","LIFEEXP","TOT","YR","A","2019",82.7,
"LUX","LIFEEXP","TOT","YR","A","2020",82.2,
"LUX","LIFEEXP","TOT","YR","A","2021",82.8,
"NLD","LIFEEXP","TOT","YR","A","2010",81,
"NLD","LIFEEXP","TOT","YR","A","2011",81.3,
"NLD","LIFEEXP","TOT","YR","A","2012",81.2,
"NLD","LIFEEXP","TOT","YR","A","2013",81.4,
"NLD","LIFEEXP","TOT","YR","A","2014",81.8,
"NLD","LIFEEXP","TOT","YR","A","2015",81.6,
"NLD","LIFEEXP","TOT","YR","A","2016",81.7,
"NLD","LIFEEXP","TOT","YR","A","2017",81.8,
"NLD","LIFEEXP","TOT","YR","A","2018",81.9,
"NLD","LIFEEXP","TOT","YR","A","2019",82.2,
"NLD","LIFEEXP","TOT","YR","A","2020",81.4,
"NLD","LIFEEXP","TOT","YR","A","2021",81.5,
"POL","LIFEEXP","TOT","YR","A","2010",76.4,
"POL","LIFEEXP","TOT","YR","A","2011",76.8,
"POL","LIFEEXP","TOT","YR","A","2012",76.9,
"POL","LIFEEXP","TOT","YR","A","2013",77.1,
"POL","LIFEEXP","TOT","YR","A","2014",77.8,
"POL","LIFEEXP","TOT","YR","A","2015",77.5,
"POL","LIFEEXP","TOT","YR","A","2016",78,
"POL","LIFEEXP","TOT","YR","A","2017",77.8,
"POL","LIFEEXP","TOT","YR","A","2018",77.7,
"POL","LIFEEXP","TOT","YR","A","2019",78,
"POL","LIFEEXP","TOT","YR","A","2020",76.5,
"POL","LIFEEXP","TOT","YR","A","2021",75.6,
"PRT","LIFEEXP","TOT","YR","A","2010",80.1,
"PRT","LIFEEXP","TOT","YR","A","2011",80.7,
"PRT","LIFEEXP","TOT","YR","A","2012",80.6,
"PRT","LIFEEXP","TOT","YR","A","2013",80.9,
"PRT","LIFEEXP","TOT","YR","A","2014",81.3,
"PRT","LIFEEXP","TOT","YR","A","2015",81.3,
"PRT","LIFEEXP","TOT","YR","A","2016",81.3,
"PRT","LIFEEXP","TOT","YR","A","2017",81.6,
"PRT","LIFEEXP","TOT","YR","A","2018",81.5,
"PRT","LIFEEXP","TOT","YR","A","2019",81.9,
"PRT","LIFEEXP","TOT","YR","A","2020",81.1,
"PRT","LIFEEXP","TOT","YR","A","2021",81.2,
"SVK","LIFEEXP","TOT","YR","A","2010",75.6,
"SVK","LIFEEXP","TOT","YR","A","2011",76.1,
"SVK","LIFEEXP","TOT","YR","A","2012",76.3,
"SVK","LIFEEXP","TOT","YR","A","2013",76.6,
"SVK","LIFEEXP","TOT","YR","A","2014",77,
"SVK","LIFEEXP","TOT","YR","A","2015",76.7,
"SVK","LIFEEXP","TOT","YR","A","2016",77.3,
"SVK","LIFEEXP","TOT","YR","A","2017",77.3,
"SVK","LIFEEXP","TOT","YR","A","2018",77.4,
"SVK","LIFEEXP","TOT","YR","A","2019",77.8,
"SVK","LIFEEXP","TOT","YR","A","2020",77,
"SVK","LIFEEXP","TOT","YR","A","2021",74.8,
"ESP","LIFEEXP","TOT","YR","A","2010",82.4,
"ESP","LIFEEXP","TOT","YR","A","2011",82.6,
"ESP","LIFEEXP","TOT","YR","A","2012",82.5,
"ESP","LIFEEXP","TOT","YR","A","2013",83.2,
"ESP","LIFEEXP","TOT","YR","A","2014",83.3,
"ESP","LIFEEXP","TOT","YR","A","2015",83,
"ESP","LIFEEXP","TOT","YR","A","2016",83.5,
"ESP","LIFEEXP","TOT","YR","A","2017",83.4,
"ESP","LIFEEXP","TOT","YR","A","2018",83.5,
"ESP","LIFEEXP","TOT","YR","A","2019",84,
"ESP","LIFEEXP","TOT","YR","A","2020",82.4,
"ESP","LIFEEXP","TOT","YR","A","2021",83.3,
"CHE","LIFEEXP","TOT","YR","A","2010",82.7,
"CHE","LIFEEXP","TOT","YR","A","2011",82.8,"B"
"CHE","LIFEEXP","TOT","YR","A","2012",82.8,
"CHE","LIFEEXP","TOT","YR","A","2013",82.9,
"CHE","LIFEEXP","TOT","YR","A","2014",83.3,
"CHE","LIFEEXP","TOT","YR","A","2015",83,
"CHE","LIFEEXP","TOT","YR","A","2016",83.7,
"CHE","LIFEEXP","TOT","YR","A","2017",83.7,
"CHE","LIFEEXP","TOT","YR","A","2018",83.8,
"CHE","LIFEEXP","TOT","YR","A","2019",84,
"CHE","LIFEEXP","TOT","YR","A","2020",83.1,
"CHE","LIFEEXP","TOT","YR","A","2021",84,
"GBR","LIFEEXP","TOT","YR","A","2010",80.6,"E"
"GBR","LIFEEXP","TOT","YR","A","2011",81,"E"
"GBR","LIFEEXP","TOT","YR","A","2012",81,"E"
"GBR","LIFEEXP","TOT","YR","A","2013",81.1,"E"
"GBR","LIFEEXP","TOT","YR","A","2014",81.4,"E"
"GBR","LIFEEXP","TOT","YR","A","2015",81,"E"
"GBR","LIFEEXP","TOT","YR","A","2016",81.2,"E"
"GBR","LIFEEXP","TOT","YR","A","2017",81.3,"E"
"GBR","LIFEEXP","TOT","YR","A","2018",81.3,"E"
"GBR","LIFEEXP","TOT","YR","A","2019",81.4,"E"
"GBR","LIFEEXP","TOT","YR","A","2020",80.4,"E"
"EST","LIFEEXP","TOT","YR","A","2010",76,
"EST","LIFEEXP","TOT","YR","A","2011",76.6,
"EST","LIFEEXP","TOT","YR","A","2012",76.7,
"EST","LIFEEXP","TOT","YR","A","2013",77.5,
"EST","LIFEEXP","TOT","YR","A","2014",77.4,
"EST","LIFEEXP","TOT","YR","A","2015",78,
"EST","LIFEEXP","TOT","YR","A","2016",78,
"EST","LIFEEXP","TOT","YR","A","2017",78.4,
"EST","LIFEEXP","TOT","YR","A","2018",78.5,
"EST","LIFEEXP","TOT","YR","A","2019",79,
"EST","LIFEEXP","TOT","YR","A","2020",78.9,
"EST","LIFEEXP","TOT","YR","A","2021",76.9,
"SVN","LIFEEXP","TOT","YR","A","2010",79.8,
"SVN","LIFEEXP","TOT","YR","A","2011",80.1,
"SVN","LIFEEXP","TOT","YR","A","2012",80.3,
"SVN","LIFEEXP","TOT","YR","A","2013",80.5,
"SVN","LIFEEXP","TOT","YR","A","2014",81.2,
"SVN","LIFEEXP","TOT","YR","A","2015",80.9,
"SVN","LIFEEXP","TOT","YR","A","2016",81.2,
"SVN","LIFEEXP","TOT","YR","A","2017",81.2,
"SVN","LIFEEXP","TOT","YR","A","2018",81.5,
"SVN","LIFEEXP","TOT","YR","A","2019",81.6,
"SVN","LIFEEXP","TOT","YR","A","2020",80.6,
"SVN","LIFEEXP","TOT","YR","A","2021",80.9,
"LVA","LIFEEXP","TOT","YR","A","2010",73.1,
"LVA","LIFEEXP","TOT","YR","A","2011",73.9,
"LVA","LIFEEXP","TOT","YR","A","2012",74.1,
"LVA","LIFEEXP","TOT","YR","A","2013",74.3,
"LVA","LIFEEXP","TOT","YR","A","2014",74.5,
"LVA","LIFEEXP","TOT","YR","A","2015",74.8,
"LVA","LIFEEXP","TOT","YR","A","2016",74.9,
"LVA","LIFEEXP","TOT","YR","A","2017",74.9,
"LVA","LIFEEXP","TOT","YR","A","2018",75.1,
"LVA","LIFEEXP","TOT","YR","A","2019",75.7,
"LVA","LIFEEXP","TOT","YR","A","2020",75.5,
"LVA","LIFEEXP","TOT","YR","A","2021",73.4,
"LTU","LIFEEXP","TOT","YR","A","2010",73.3,
"LTU","LIFEEXP","TOT","YR","A","2011",73.7,
"LTU","LIFEEXP","TOT","YR","A","2012",74.1,
"LTU","LIFEEXP","TOT","YR","A","2013",74.1,
"LTU","LIFEEXP","TOT","YR","A","2014",74.7,
"LTU","LIFEEXP","TOT","YR","A","2015",74.6,
"LTU","LIFEEXP","TOT","YR","A","2016",74.9,
"LTU","LIFEEXP","TOT","YR","A","2017",75.8,
"LTU","LIFEEXP","TOT","YR","A","2018",76,
"LTU","LIFEEXP","TOT","YR","A","2019",76.5,
"LTU","LIFEEXP","TOT","YR","A","2020",75.1,
"LTU","LIFEEXP","TOT","YR","A","2021",74.5,
"HRV","LIFEEXP","TOT","YR","A","2010",76.7,
"HRV","LIFEEXP","TOT","YR","A","2011",77.2,
"HRV","LIFEEXP","TOT","YR","A","2012",77.3,
"HRV","LIFEEXP","TOT","YR","A","2013",77.8,
"HRV","LIFEEXP","TOT","YR","A","2014",77.9,
"HRV","LIFEEXP","TOT","YR","A","2015",77.5,
"HRV","LIFEEXP","TOT","YR","A","2016",78.2,
"HRV","LIFEEXP","TOT","YR","A","2017",78,
"HRV","LIFEEXP","TOT","YR","A","2018",78.2,
"HRV","LIFEEXP","TOT","YR","A","2019",78.6,
"HRV","LIFEEXP","TOT","YR","A","2020",77.8,
"HRV","LIFEEXP","TOT","YR","A","2021",76.8,
